                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6841,                 1.3375,                 1.1731,                0.79108,                0.54692,                0.59481,                0.29873,                 1.4821,                0.79673,                 1.0901,              0.0033292,              0.0033292,              0.0033292
                      2,                 1.5297,                0.88135,                 1.0681,                0.80572,                0.53231,                0.59472,                0.30193,                 1.4956,                0.77035,                 1.0965,              0.0066118,              0.0066118,              0.0066118
                      3,                 1.5606,                0.86948,                 1.0757,                0.79159,                0.51025,                0.57382,                0.29519,                 1.5129,                0.81946,                 1.1104,              0.0098436,              0.0098436,              0.0098436
                      4,                 1.5648,                0.86422,                 1.0787,                0.79846,                0.52478,                0.59274,                0.30514,                  1.502,                  0.804,                 1.1074,              0.0097715,              0.0097715,              0.0097715
                      5,                   1.52,                0.82042,                 1.0684,                0.81916,                0.54707,                0.61728,                0.32926,                 1.4467,                0.73602,                 1.0827,              0.0096954,              0.0096954,              0.0096954
                      6,                 1.4903,                0.78772,                 1.0606,                 0.8255,                0.55999,                0.63273,                0.34152,                 1.4159,                0.70672,                 1.0731,              0.0096192,              0.0096192,              0.0096192
                      7,                 1.4673,                0.76303,                 1.0546,                0.84426,                0.56586,                0.64359,                 0.3471,                 1.4157,                0.68524,                  1.076,              0.0095431,              0.0095431,              0.0095431
                      8,                 1.4461,                0.74325,                 1.0494,                0.84391,                0.57102,                0.64947,                0.35092,                 1.4029,                0.67067,                 1.0629,              0.0094669,              0.0094669,              0.0094669
                      9,                 1.4311,                0.72913,                 1.0446,                0.84963,                0.58256,                0.66467,                0.36033,                 1.3882,                0.65193,                 1.0612,              0.0093908,              0.0093908,              0.0093908
                     10,                  1.419,                0.71538,                 1.0433,                0.84544,                0.59015,                 0.6666,                0.36629,                 1.3659,                0.64406,                 1.0527,              0.0093146,              0.0093146,              0.0093146
                     11,                 1.4075,                0.70587,                 1.0371,                0.84217,                0.58875,                0.66553,                0.36055,                 1.3739,                0.64101,                 1.0612,              0.0092385,              0.0092385,              0.0092385
                     12,                 1.4031,                 0.7017,                 1.0335,                0.85076,                0.59052,                0.67389,                0.36864,                 1.3729,                0.63234,                 1.0601,              0.0091623,              0.0091623,              0.0091623
                     13,                 1.4024,                0.69379,                 1.0322,                0.85104,                0.59855,                0.67892,                0.37483,                 1.3507,                0.62695,                 1.0579,              0.0090862,              0.0090862,              0.0090862
                     14,                 1.3882,                0.68373,                 1.0358,                0.85202,                0.59706,                0.67616,                0.37225,                 1.3543,                 0.6206,                 1.0552,                0.00901,                0.00901,                0.00901
                     15,                 1.3824,                0.67953,                 1.0251,                 0.8557,                0.60565,                0.68501,                0.37634,                 1.3531,                0.61286,                 1.0453,              0.0089338,              0.0089338,              0.0089338
                     16,                 1.3622,                0.66726,                 1.0267,                0.86045,                0.60636,                0.68661,                0.37859,                 1.3462,                0.60493,                 1.0488,              0.0088577,              0.0088577,              0.0088577
                     17,                 1.3651,                0.66251,                  1.026,                0.86347,                0.61038,                0.69115,                0.38536,                 1.3345,                0.59734,                 1.0474,              0.0087815,              0.0087815,              0.0087815
                     18,                 1.3595,                 0.6608,                 1.0245,                0.86232,                0.60958,                0.69155,                0.38476,                 1.3262,                0.59506,                 1.0375,              0.0087054,              0.0087054,              0.0087054
                     19,                 1.3611,                0.65893,                 1.0175,                0.86177,                0.61711,                0.69583,                0.38819,                 1.3274,                0.59691,                 1.0435,              0.0086292,              0.0086292,              0.0086292
                     20,                 1.3542,                0.65236,                  1.017,                0.86387,                0.61054,                0.69549,                0.38252,                 1.3348,                0.58999,                 1.0482,              0.0085531,              0.0085531,              0.0085531
                     21,                 1.3459,                0.64742,                 1.0185,                0.85855,                 0.6184,                0.70184,                0.39127,                 1.3244,                0.58104,                 1.0413,              0.0084769,              0.0084769,              0.0084769
                     22,                 1.3551,                0.64784,                 1.0163,                0.86068,                0.62129,                0.70212,                0.38896,                 1.3273,                0.58203,                 1.0485,              0.0084008,              0.0084008,              0.0084008
                     23,                 1.3387,                0.64006,                 1.0156,                0.86765,                0.61872,                 0.7036,                0.39086,                 1.3235,                0.57582,                 1.0439,              0.0083246,              0.0083246,              0.0083246
                     24,                 1.3369,                 0.6404,                 1.0176,                0.86043,                0.62542,                0.70736,                0.39538,                 1.3152,                0.57143,                 1.0462,              0.0082485,              0.0082485,              0.0082485
                     25,                 1.3353,                0.63262,                 1.0101,                 0.8697,                0.62598,                0.70692,                 0.3927,                  1.316,                0.56842,                 1.0385,              0.0081723,              0.0081723,              0.0081723
                     26,                 1.3271,                0.63077,                 1.0063,                0.87098,                0.62431,                0.70858,                0.39587,                 1.3137,                0.56426,                 1.0342,              0.0080962,              0.0080962,              0.0080962
                     27,                 1.3214,                0.62623,                 1.0053,                0.87413,                0.62857,                0.71263,                0.39828,                 1.3139,                0.56368,                 1.0375,                0.00802,                0.00802,                0.00802
                     28,                 1.3182,                0.62402,                 1.0052,                0.87179,                0.62796,                0.71126,                 0.3991,                 1.3088,                0.56143,                 1.0294,              0.0079438,              0.0079438,              0.0079438
