                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6214,                 1.2921,                 1.1674,                 0.7949,                0.56515,                0.61202,                0.30955,                 1.4319,                0.76312,                 1.0962,               0.003331,               0.003331,               0.003331
                      2,                 1.4872,                0.84864,                 1.0692,                0.80022,                0.53332,                   0.59,                0.30635,                 1.4576,                0.73754,                  1.101,              0.0065984,              0.0065984,              0.0065984
                      3,                 1.5554,                0.87316,                 1.0934,                0.78031,                0.51322,                0.57468,                0.29563,                 1.4989,                0.80243,                 1.1227,              0.0097997,              0.0097997,              0.0097997
                      4,                 1.5613,                0.88883,                 1.1118,                0.80613,                0.53342,                0.60291,                0.31357,                 1.4624,                0.78252,                 1.1193,               0.009703,               0.009703,               0.009703
                      5,                 1.5224,                0.83984,                 1.1001,                0.80971,                 0.5413,                0.61494,                  0.323,                 1.4357,                0.73432,                 1.1129,               0.009604,               0.009604,               0.009604
                      6,                  1.494,                0.80771,                 1.0917,                0.83179,                0.56417,                 0.6405,                0.34449,                 1.4039,                0.70407,                 1.0994,               0.009505,               0.009505,               0.009505
                      7,                 1.4714,                0.77637,                 1.0834,                 0.8322,                0.56734,                0.64467,                0.34537,                 1.3939,                0.67991,                 1.0968,               0.009406,               0.009406,               0.009406
                      8,                 1.4365,                0.75454,                 1.0788,                0.84501,                0.58203,                0.65978,                0.35884,                 1.3698,                0.66377,                 1.0844,               0.009307,               0.009307,               0.009307
                      9,                 1.4332,                 0.7376,                  1.065,                0.84947,                0.59566,                0.67396,                0.36549,                 1.3669,                0.64877,                 1.0864,               0.009208,               0.009208,               0.009208
                     10,                 1.4103,                0.71932,                 1.0647,                0.84789,                0.59641,                0.67403,                 0.3654,                 1.3555,                0.64027,                 1.0741,               0.009109,               0.009109,               0.009109
                     11,                 1.4064,                0.71348,                 1.0565,                0.85551,                0.59307,                0.67359,                0.36647,                 1.3614,                 0.6264,                 1.0764,                0.00901,                0.00901,                0.00901
                     12,                 1.3918,                0.70021,                 1.0589,                0.84722,                0.60578,                0.68315,                0.37531,                 1.3389,                0.62294,                 1.0648,               0.008911,               0.008911,               0.008911
                     13,                 1.3856,                0.69434,                 1.0482,                0.85362,                0.60816,                0.68475,                0.37441,                 1.3453,                0.61378,                 1.0575,               0.008812,               0.008812,               0.008812
