                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7067,                  1.414,                 1.1768,                0.80428,                 0.5447,                0.60191,                 0.3064,                 1.4669,                0.80294,                 1.0834,              0.0033292,              0.0033292,              0.0033292
                      2,                 1.5472,                0.89233,                 1.0732,                0.80569,                0.54259,                0.60785,                0.31483,                 1.4659,                0.77401,                 1.0818,              0.0066295,              0.0066295,              0.0066295
                      3,                 1.5664,                0.87332,                  1.081,                0.78132,                0.50108,                0.56241,                0.28525,                 1.5619,                0.83635,                 1.1203,              0.0098969,              0.0098969,              0.0098969
                      4,                 1.5723,                0.87038,                 1.0842,                  0.807,                0.51337,                0.57814,                0.29986,                  1.513,                0.80922,                 1.0998,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5291,                0.82839,                 1.0728,                 0.8237,                0.53785,                0.61279,                0.32636,                 1.4611,                0.73501,                 1.0884,               0.009802,               0.009802,               0.009802
                      6,                 1.5001,                0.79452,                 1.0675,                0.83139,                0.55357,                0.62982,                0.33829,                  1.435,                0.71882,                 1.0929,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.4782,                0.77249,                  1.056,                0.83227,                0.55903,                0.63434,                 0.3382,                 1.4267,                0.70045,                 1.0815,               0.009703,               0.009703,               0.009703
                      8,                 1.4582,                0.75134,                 1.0532,                0.84496,                0.56309,                0.64194,                0.34478,                  1.412,                0.67596,                 1.0769,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4434,                0.73975,                 1.0471,                0.83812,                 0.5658,                0.64519,                0.34588,                 1.4086,                0.67738,                 1.0581,               0.009604,               0.009604,               0.009604
                     10,                 1.4304,                0.72935,                 1.0487,                0.85051,                0.58162,                0.66113,                0.36075,                 1.3853,                0.65459,                 1.0644,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4203,                0.71949,                 1.0409,                0.83308,                0.57586,                0.65047,                0.35098,                 1.3824,                0.65901,                 1.0585,               0.009505,               0.009505,               0.009505
                     12,                 1.4151,                0.71475,                 1.0363,                0.85514,                0.58517,                0.66748,                0.36371,                 1.3751,                0.63651,                 1.0653,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4146,                0.70475,                 1.0345,                0.83924,                0.58787,                0.66675,                0.36705,                 1.3621,                0.63913,                 1.0517,               0.009406,               0.009406,               0.009406
                     14,                 1.3995,                0.69458,                 1.0366,                0.84973,                0.59341,                 0.6729,                0.36917,                 1.3572,                 0.6269,                 1.0628,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.3951,                0.69118,                 1.0303,                0.85751,                0.59628,                0.67583,                0.37217,                 1.3605,                0.62235,                 1.0469,               0.009307,               0.009307,               0.009307
                     16,                 1.3747,                0.67781,                 1.0331,                0.85633,                0.60076,                0.68129,                0.37687,                 1.3493,                0.61149,                 1.0537,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.3784,                0.67518,                 1.0255,                0.85869,                0.60346,                0.68524,                0.37778,                 1.3365,                0.60583,                 1.0468,               0.009208,               0.009208,               0.009208
                     18,                 1.3712,                0.67254,                 1.0229,                0.85441,                0.60349,                0.68247,                0.37875,                 1.3377,                0.60518,                 1.0433,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.3756,                0.67086,                 1.0223,                0.86319,                0.60626,                0.68917,                0.38275,                 1.3342,                0.60174,                 1.0429,               0.009109,               0.009109,               0.009109
                     20,                 1.3685,                0.66498,                 1.0159,                 0.8649,                0.60444,                0.68916,                0.37788,                 1.3442,                0.59643,                 1.0451,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.3629,                0.66224,                 1.0202,                0.85401,                0.60981,                0.69059,                0.38371,                  1.331,                 0.5911,                 1.0441,                0.00901,                0.00901,                0.00901
                     22,                   1.37,                0.66261,                 1.0167,                0.86591,                0.61168,                0.69425,                0.38411,                 1.3313,                0.59361,                 1.0415,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.3551,                0.65455,                 1.0173,                0.86119,                0.61069,                0.69077,                0.38268,                 1.3294,                0.58701,                 1.0379,               0.008911,               0.008911,               0.008911
                     24,                 1.3536,                0.65592,                 1.0175,                0.86009,                0.61449,                0.69539,                0.38732,                 1.3233,                0.58128,                 1.0342,              0.0088615,              0.0088615,              0.0088615
                     25,                  1.349,                0.64727,                 1.0153,                0.86447,                0.61648,                0.69777,                0.38733,                  1.324,                0.57976,                 1.0479,               0.008812,               0.008812,               0.008812
                     26,                 1.3466,                0.64721,                 1.0162,                0.86394,                0.62031,                 0.7021,                0.39067,                 1.3188,                0.57635,                 1.0428,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.3393,                0.64232,                 1.0191,                 0.8632,                0.62297,                0.70402,                0.39137,                 1.3197,                 0.5747,                 1.0483,               0.008713,               0.008713,               0.008713
                     28,                 1.3335,                0.63987,                 1.0124,                0.86626,                0.62295,                0.70458,                 0.3937,                 1.3124,                0.56826,                 1.0397,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.3342,                0.63589,                 1.0104,                0.86669,                0.62298,                0.70579,                0.39401,                 1.3175,                0.56723,                 1.0389,               0.008614,               0.008614,               0.008614
                     30,                 1.3375,                0.63621,                  1.011,                0.86815,                0.62402,                0.70646,                0.39652,                 1.3093,                0.56523,                 1.0388,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.3319,                0.63402,                 1.0077,                0.87145,                0.62625,                0.71095,                0.39883,                 1.3115,                0.56178,                 1.0341,               0.008515,               0.008515,               0.008515
                     32,                 1.3277,                0.63068,                 1.0028,                0.86732,                 0.6299,                0.71042,                0.40025,                  1.303,                0.55516,                 1.0303,              0.0084655,              0.0084655,              0.0084655
                     33,                  1.329,                0.62884,                 1.0109,                 0.8667,                0.63028,                 0.7117,                0.39871,                 1.3059,                0.55776,                 1.0387,               0.008416,               0.008416,               0.008416
                     34,                  1.319,                0.62338,                 1.0037,                0.86497,                0.63038,                0.71138,                0.39877,                 1.3045,                0.55695,                 1.0293,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.3167,                0.62364,                 1.0038,                0.86174,                0.63111,                0.70981,                0.39846,                 1.3019,                0.55381,                 1.0296,               0.008317,               0.008317,               0.008317
                     36,                 1.3215,                0.62093,                 1.0054,                0.86956,                0.63084,                0.71341,                0.39986,                 1.3005,                0.55071,                 1.0343,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3162,                0.62024,                0.99993,                 0.8667,                0.63322,                0.71589,                0.40179,                 1.3016,                0.54962,                 1.0276,               0.008218,               0.008218,               0.008218
                     38,                 1.3086,                0.61493,                0.99797,                0.86637,                 0.6367,                0.71722,                0.40376,                 1.2977,                 0.5466,                 1.0291,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3169,                 0.6182,                 1.0029,                0.86975,                0.63429,                0.71755,                0.40226,                 1.3014,                0.54615,                 1.0264,               0.008119,               0.008119,               0.008119
                     40,                 1.3052,                0.61119,                 1.0005,                0.87381,                0.63393,                0.71849,                0.40304,                 1.3015,                0.54341,                 1.0325,              0.0080695,              0.0080695,              0.0080695
                     41,                  1.309,                0.61408,                 1.0028,                0.87242,                0.63497,                0.71887,                0.40502,                 1.2927,                0.54133,                 1.0296,                0.00802,                0.00802,                0.00802
                     42,                 1.3059,                0.60958,                0.99957,                0.86629,                0.63741,                0.71928,                 0.4053,                 1.2958,                0.54083,                 1.0302,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.3069,                0.61019,                 1.0019,                0.86756,                0.63897,                0.71982,                0.40587,                 1.2924,                 0.5407,                 1.0355,               0.007921,               0.007921,               0.007921
                     44,                 1.3077,                0.60819,                0.99684,                0.86686,                0.64233,                0.72169,                0.40714,                 1.2912,                0.53653,                 1.0301,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.2871,                0.60202,                 1.0013,                0.87075,                0.64069,                0.72304,                0.40813,                 1.2919,                0.53716,                 1.0356,               0.007822,               0.007822,               0.007822
                     46,                  1.291,                0.60159,                0.99906,                0.87031,                0.64088,                0.72419,                0.40791,                 1.2965,                0.53712,                  1.036,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2925,                0.60245,                0.99168,                0.87495,                0.64052,                0.72423,                0.40842,                 1.2957,                0.53625,                 1.0293,               0.007723,               0.007723,               0.007723
                     48,                 1.2893,                0.60433,                0.99556,                 0.8713,                0.64323,                0.72566,                0.40913,                 1.2901,                0.53385,                 1.0317,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.2929,                0.60162,                0.99773,                0.86855,                0.64489,                0.72551,                0.41013,                 1.2893,                0.53543,                 1.0345,               0.007624,               0.007624,               0.007624
                     50,                 1.2806,                0.59506,                0.99579,                0.87185,                 0.6429,                0.72597,                0.41032,                 1.2884,                0.53414,                 1.0324,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.2852,                0.59483,                0.99279,                0.87264,                0.64305,                0.72614,                0.40995,                  1.291,                0.53361,                 1.0341,               0.007525,               0.007525,               0.007525
                     52,                 1.2793,                0.59423,                0.99676,                0.87301,                0.64409,                0.72687,                0.41026,                 1.2905,                0.53297,                 1.0352,              0.0074755,              0.0074755,              0.0074755
