                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7897,                 1.5242,                 1.2093,                0.77055,                0.48575,                0.53508,                0.26148,                  1.574,                  0.886,                 1.1237,              0.0033292,              0.0033292,              0.0033292
                      2,                 1.6158,                0.97568,                 1.0964,                0.77768,                0.51202,                0.56765,                0.28443,                 1.5274,                0.82862,                  1.116,              0.0066405,              0.0066405,              0.0066405
                      3,                 1.6242,                0.93557,                 1.1028,                0.77252,                0.48665,                0.54405,                 0.2755,                 1.5478,                0.84779,                 1.1304,              0.0099299,              0.0099299,              0.0099299
                      4,                 1.6171,                0.91623,                 1.1049,                0.80221,                0.49551,                0.56382,                0.28794,                 1.5386,                0.81191,                 1.1143,               0.009901,               0.009901,               0.009901
                      5,                 1.5718,                0.86803,                 1.0911,                0.80656,                0.51662,                0.58794,                0.30998,                 1.4816,                 0.7643,                 1.1059,               0.009868,               0.009868,               0.009868
                      6,                 1.5474,                0.83582,                 1.0897,                0.81564,                0.52658,                0.59729,                0.31462,                  1.471,                0.74983,                 1.1057,               0.009835,               0.009835,               0.009835
                      7,                 1.5257,                0.81168,                 1.0842,                0.81562,                 0.5293,                0.60259,                0.31835,                 1.4516,                0.72419,                 1.1029,               0.009802,               0.009802,               0.009802
                      8,                 1.5054,                0.79109,                 1.0796,                0.81997,                0.53035,                0.60774,                0.32303,                 1.4541,                0.71872,                  1.101,               0.009769,               0.009769,               0.009769
                      9,                 1.4918,                0.78206,                 1.0778,                0.81914,                0.54126,                0.61779,                0.32938,                 1.4382,                0.70816,                 1.0954,               0.009736,               0.009736,               0.009736
                     10,                 1.4799,                 0.7689,                 1.0763,                0.82356,                  0.554,                0.62513,                0.33634,                 1.4169,                0.68459,                 1.0851,               0.009703,               0.009703,               0.009703
                     11,                 1.4669,                0.75675,                 1.0644,                0.81842,                0.54827,                0.62265,                0.33115,                   1.43,                0.69022,                 1.0902,                0.00967,                0.00967,                0.00967
                     12,                 1.4663,                0.75909,                  1.063,                0.82982,                0.56029,                0.63524,                0.34105,                 1.4127,                0.67296,                 1.0744,               0.009637,               0.009637,               0.009637
                     13,                 1.4661,                0.74814,                 1.0533,                 0.8302,                0.55608,                0.63554,                0.34317,                    1.4,                0.66538,                 1.0728,               0.009604,               0.009604,               0.009604
                     14,                 1.4515,                0.73534,                 1.0615,                0.82572,                0.56475,                0.63748,                0.34117,                 1.4038,                0.66705,                 1.0808,               0.009571,               0.009571,               0.009571
                     15,                 1.4449,                0.73389,                 1.0519,                0.83836,                0.56802,                0.64442,                0.35064,                 1.3905,                 0.6484,                 1.0808,               0.009538,               0.009538,               0.009538
                     16,                 1.4264,                0.72097,                 1.0623,                0.83615,                0.57291,                0.64745,                0.35147,                 1.3856,                0.64488,                 1.0737,               0.009505,               0.009505,               0.009505
                     17,                 1.4293,                 0.7149,                 1.0589,                 0.8491,                0.57122,                0.65163,                0.35702,                  1.387,                0.63649,                 1.0851,               0.009472,               0.009472,               0.009472
                     18,                  1.423,                0.71417,                 1.0541,                0.83534,                0.57344,                0.64949,                0.35355,                 1.3774,                0.63892,                  1.077,               0.009439,               0.009439,               0.009439
                     19,                 1.4286,                0.71409,                 1.0483,                0.83977,                0.57815,                0.65461,                0.35645,                 1.3763,                 0.6324,                 1.0719,               0.009406,               0.009406,               0.009406
                     20,                 1.4224,                0.70919,                 1.0454,                0.83439,                0.57674,                0.65226,                0.35453,                 1.3777,                0.62739,                 1.0681,               0.009373,               0.009373,               0.009373
                     21,                 1.4144,                0.70455,                 1.0467,                0.84381,                0.58011,                0.66034,                0.36255,                 1.3633,                0.62104,                 1.0652,                0.00934,                0.00934,                0.00934
                     22,                 1.4252,                0.70318,                 1.0446,                0.84161,                0.58466,                0.66213,                0.36181,                 1.3688,                0.61914,                 1.0659,               0.009307,               0.009307,               0.009307
                     23,                  1.408,                0.69674,                 1.0443,                0.84924,                0.58267,                0.66286,                0.36256,                  1.364,                 0.6121,                 1.0655,               0.009274,               0.009274,               0.009274
                     24,                 1.4073,                0.69682,                 1.0451,                0.84658,                0.58933,                0.66711,                0.36687,                 1.3575,                  0.608,                 1.0621,               0.009241,               0.009241,               0.009241
                     25,                 1.4051,                0.68855,                 1.0384,                0.84827,                0.59178,                0.66817,                0.36528,                 1.3552,                0.60698,                 1.0624,               0.009208,               0.009208,               0.009208
                     26,                 1.4007,                0.69004,                 1.0429,                0.85203,                0.58963,                0.66964,                0.36798,                 1.3543,                0.60782,                 1.0675,               0.009175,               0.009175,               0.009175
                     27,                 1.3948,                0.68359,                 1.0384,                0.84976,                0.59109,                0.67105,                0.36889,                 1.3581,                0.60003,                 1.0614,               0.009142,               0.009142,               0.009142
                     28,                 1.3904,                0.68317,                 1.0351,                0.84957,                0.59184,                0.66984,                 0.3697,                 1.3511,                0.59691,                 1.0547,               0.009109,               0.009109,               0.009109
                     29,                 1.3904,                0.68255,                 1.0318,                0.84904,                0.59404,                0.67145,                0.36924,                 1.3468,                0.59612,                 1.0483,               0.009076,               0.009076,               0.009076
                     30,                  1.396,                0.68312,                 1.0361,                0.84957,                0.59563,                 0.6751,                 0.3729,                 1.3427,                0.59585,                 1.0552,               0.009043,               0.009043,               0.009043
                     31,                 1.3914,                 0.6807,                  1.034,                0.84826,                0.59597,                0.67512,                0.37074,                 1.3464,                0.59613,                 1.0528,                0.00901,                0.00901,                0.00901
                     32,                 1.3838,                0.67359,                 1.0336,                0.85467,                0.59794,                0.67717,                0.37411,                 1.3418,                0.58577,                 1.0619,               0.008977,               0.008977,               0.008977
                     33,                 1.3888,                0.67481,                 1.0421,                0.85162,                0.60069,                0.67907,                0.37473,                 1.3414,                0.58519,                 1.0592,               0.008944,               0.008944,               0.008944
                     34,                 1.3771,                0.66962,                 1.0396,                0.85043,                0.60137,                0.68022,                0.37599,                 1.3374,                0.58544,                 1.0591,               0.008911,               0.008911,               0.008911
                     35,                 1.3748,                0.66927,                  1.035,                0.85568,                0.60134,                0.68065,                0.37589,                  1.337,                0.57923,                 1.0584,               0.008878,               0.008878,               0.008878
                     36,                 1.3819,                0.66845,                 1.0355,                0.85531,                0.60263,                0.68217,                0.37648,                 1.3379,                0.57898,                 1.0603,               0.008845,               0.008845,               0.008845
                     37,                 1.3768,                0.66671,                 1.0306,                0.85428,                0.60342,                0.68297,                0.37854,                 1.3328,                 0.5787,                  1.054,               0.008812,               0.008812,               0.008812
                     38,                 1.3703,                0.66295,                 1.0311,                0.85501,                0.60431,                0.68484,                 0.3794,                 1.3321,                0.57534,                 1.0549,               0.008779,               0.008779,               0.008779
                     39,                 1.3757,                0.66634,                 1.0361,                0.85259,                0.60482,                0.68501,                0.37927,                 1.3327,                 0.5757,                 1.0525,               0.008746,               0.008746,               0.008746
                     40,                 1.3628,                0.65645,                 1.0237,                0.85665,                0.60591,                0.68628,                0.38049,                 1.3316,                0.57166,                 1.0436,               0.008713,               0.008713,               0.008713
                     41,                 1.3688,                0.66028,                 1.0301,                0.85655,                0.60298,                0.68504,                0.38059,                 1.3281,                0.57028,                 1.0514,                0.00868,                0.00868,                0.00868
                     42,                 1.3695,                0.65796,                 1.0321,                0.86025,                0.60437,                0.68783,                0.38133,                 1.3298,                0.57111,                 1.0556,               0.008647,               0.008647,               0.008647
                     43,                  1.369,                0.66046,                 1.0244,                0.85692,                0.60628,                0.68685,                0.38199,                 1.3256,                0.56774,                 1.0457,               0.008614,               0.008614,               0.008614
                     44,                 1.3705,                0.65662,                 1.0285,                0.85959,                0.60765,                0.68889,                0.38359,                 1.3223,                0.56435,                 1.0532,               0.008581,               0.008581,               0.008581
                     45,                 1.3522,                0.64947,                 1.0308,                0.85927,                0.60848,                0.68927,                0.38428,                 1.3214,                0.56189,                 1.0528,               0.008548,               0.008548,               0.008548
                     46,                 1.3573,                0.65219,                 1.0294,                 0.8575,                0.60991,                0.69135,                0.38401,                 1.3257,                0.56282,                  1.053,               0.008515,               0.008515,               0.008515
                     47,                 1.3588,                0.64941,                 1.0212,                0.85838,                0.61104,                0.69252,                0.38469,                 1.3225,                 0.5602,                 1.0481,               0.008482,               0.008482,               0.008482
                     48,                 1.3567,                0.65172,                  1.024,                0.86063,                 0.6087,                0.69172,                0.38471,                 1.3208,                0.55959,                  1.048,               0.008449,               0.008449,               0.008449
                     49,                 1.3591,                0.65046,                 1.0186,                0.86402,                0.60858,                0.69402,                0.38633,                 1.3189,                0.55822,                 1.0437,               0.008416,               0.008416,               0.008416
                     50,                 1.3504,                0.64629,                 1.0198,                 0.8617,                0.60978,                0.69437,                0.38602,                 1.3201,                0.55924,                 1.0424,               0.008383,               0.008383,               0.008383
                     51,                  1.353,                0.64547,                 1.0155,                0.85966,                0.61183,                0.69393,                0.38584,                 1.3208,                0.55884,                 1.0413,                0.00835,                0.00835,                0.00835
                     52,                 1.3482,                0.64275,                 1.0207,                0.85788,                0.61147,                0.69371,                0.38654,                 1.3184,                0.55749,                 1.0417,               0.008317,               0.008317,               0.008317
                     53,                 1.3524,                0.64695,                 1.0283,                0.85656,                0.61356,                0.69487,                0.38622,                 1.3173,                0.55557,                 1.0446,               0.008284,               0.008284,               0.008284
                     54,                 1.3505,                0.64341,                  1.021,                0.85447,                0.61439,                0.69462,                0.38659,                 1.3183,                0.55516,                  1.049,               0.008251,               0.008251,               0.008251
                     55,                 1.3417,                0.63892,                 1.0263,                0.85826,                0.61341,                 0.6949,                0.38711,                 1.3177,                0.55385,                 1.0501,               0.008218,               0.008218,               0.008218
                     56,                 1.3541,                0.64161,                 1.0263,                0.85678,                0.61444,                0.69543,                0.38769,                 1.3163,                0.55299,                 1.0519,               0.008185,               0.008185,               0.008185
                     57,                 1.3509,                0.64314,                 1.0265,                0.85995,                0.61479,                0.69591,                0.38787,                 1.3154,                0.55188,                 1.0517,               0.008152,               0.008152,               0.008152
                     58,                 1.3372,                0.63799,                 1.0257,                 0.8587,                0.61426,                0.69521,                0.38766,                  1.316,                0.55134,                 1.0511,               0.008119,               0.008119,               0.008119
                     59,                 1.3475,                0.64006,                  1.023,                0.86097,                0.61411,                0.69614,                0.38845,                 1.3156,                0.55193,                   1.05,               0.008086,               0.008086,               0.008086
                     60,                 1.3393,                0.63529,                 1.0195,                0.86015,                0.61617,                0.69708,                0.38954,                 1.3141,                0.55058,                 1.0491,               0.008053,               0.008053,               0.008053
                     61,                 1.3371,                0.63526,                 1.0207,                0.86229,                 0.6162,                 0.6977,                0.38982,                 1.3137,                0.54988,                 1.0506,                0.00802,                0.00802,                0.00802
                     62,                 1.3353,                0.63724,                 1.0217,                0.86091,                0.61739,                0.69822,                0.38986,                 1.3138,                0.54952,                 1.0502,               0.007987,               0.007987,               0.007987
                     63,                 1.3414,                0.63324,                 1.0189,                0.86273,                0.61681,                0.69854,                0.38983,                 1.3139,                0.54913,                 1.0504,               0.007954,               0.007954,               0.007954
                     64,                 1.3252,                0.62974,                 1.0179,                0.86158,                0.61739,                0.69872,                0.39017,                 1.3149,                0.54825,                 1.0512,               0.007921,               0.007921,               0.007921
                     65,                 1.3326,                0.63197,                 1.0175,                0.86198,                0.61741,                0.69914,                0.39024,                 1.3155,                0.54774,                 1.0511,               0.007888,               0.007888,               0.007888
                     66,                 1.3293,                0.62667,                 1.0208,                0.86135,                0.61726,                0.69962,                0.39084,                 1.3148,                0.54722,                 1.0514,               0.007855,               0.007855,               0.007855
                     67,                 1.3311,                0.63008,                 1.0223,                0.86144,                0.61666,                0.69951,                0.39091,                 1.3152,                0.54719,                 1.0528,               0.007822,               0.007822,               0.007822
                     68,                 1.3376,                0.63029,                 1.0166,                0.86402,                 0.6161,                0.69959,                0.39084,                 1.3149,                 0.5465,                 1.0528,               0.007789,               0.007789,               0.007789
                     69,                 1.3252,                0.62328,                 1.0228,                0.86148,                0.61727,                0.69988,                 0.3911,                 1.3142,                0.54552,                  1.053,               0.007756,               0.007756,               0.007756
                     70,                 1.3309,                0.62743,                 1.0154,                0.86266,                0.61754,                 0.7009,                0.39132,                 1.3138,                0.54548,                 1.0522,               0.007723,               0.007723,               0.007723
                     71,                 1.3236,                0.62393,                 1.0157,                0.86135,                 0.6193,                0.70142,                0.39168,                 1.3133,                0.54452,                  1.052,                0.00769,                0.00769,                0.00769
                     72,                 1.3199,                0.62103,                 1.0187,                0.85941,                0.62114,                0.70175,                0.39179,                 1.3126,                0.54377,                  1.052,               0.007657,               0.007657,               0.007657
                     73,                 1.3285,                0.62871,                 1.0182,                0.86021,                0.62102,                0.70238,                0.39198,                 1.3122,                0.54385,                 1.0526,               0.007624,               0.007624,               0.007624
                     74,                 1.3255,                0.62602,                 1.0158,                0.86126,                0.62086,                0.70265,                0.39208,                 1.3117,                0.54358,                 1.0526,               0.007591,               0.007591,               0.007591
                     75,                 1.3216,                0.62004,                 1.0157,                0.86098,                0.62006,                0.70232,                0.39244,                 1.3117,                0.54311,                 1.0529,               0.007558,               0.007558,               0.007558
                     76,                 1.3172,                0.62222,                 1.0147,                 0.8604,                0.62121,                 0.7026,                0.39238,                 1.3114,                0.54302,                 1.0525,               0.007525,               0.007525,               0.007525
                     77,                 1.3154,                0.61824,                  1.013,                0.85779,                 0.6223,                 0.7024,                0.39269,                 1.3109,                0.54288,                  1.052,               0.007492,               0.007492,               0.007492
                     78,                 1.3149,                0.61807,                 1.0156,                0.85881,                0.62197,                0.70325,                0.39292,                 1.3109,                0.54235,                 1.0518,               0.007459,               0.007459,               0.007459
                     79,                 1.3259,                0.62426,                  1.016,                0.85954,                0.62217,                0.70354,                0.39314,                 1.3114,                0.54227,                 1.0519,               0.007426,               0.007426,               0.007426
                     80,                 1.3182,                0.62043,                 1.0141,                0.85951,                0.62204,                0.70376,                0.39317,                 1.3117,                0.54208,                  1.052,               0.007393,               0.007393,               0.007393
                     81,                 1.3139,                0.61901,                 1.0103,                0.86002,                0.62195,                0.70364,                0.39335,                 1.3117,                0.54191,                 1.0517,                0.00736,                0.00736,                0.00736
                     82,                 1.3154,                0.61786,                 1.0103,                0.85986,                 0.6222,                0.70335,                0.39331,                 1.3118,                0.54163,                 1.0516,               0.007327,               0.007327,               0.007327
                     83,                 1.3115,                0.61636,                 1.0109,                0.85884,                0.62207,                0.70359,                0.39339,                 1.3117,                0.54145,                 1.0515,               0.007294,               0.007294,               0.007294
                     84,                 1.3181,                0.61969,                 1.0102,                  0.858,                0.62285,                0.70377,                0.39333,                 1.3116,                0.54126,                 1.0514,               0.007261,               0.007261,               0.007261
                     85,                 1.3205,                 0.6188,                 1.0134,                0.85993,                0.62232,                0.70419,                0.39349,                 1.3114,                0.54083,                 1.0515,               0.007228,               0.007228,               0.007228
                     86,                 1.3146,                 0.6164,                  1.012,                0.85988,                0.62227,                0.70419,                 0.3936,                 1.3112,                0.54077,                 1.0513,               0.007195,               0.007195,               0.007195
                     87,                 1.3176,                0.61772,                 1.0113,                0.85916,                0.62205,                0.70388,                0.39369,                 1.3113,                 0.5407,                 1.0512,               0.007162,               0.007162,               0.007162
                     88,                 1.3127,                0.61366,                 1.0073,                0.85849,                0.62313,                0.70427,                0.39383,                 1.3113,                0.54043,                 1.0512,               0.007129,               0.007129,               0.007129
                     89,                 1.3029,                0.61104,                 1.0059,                0.85899,                0.62273,                0.70422,                0.39385,                 1.3117,                 0.5405,                 1.0511,               0.007096,               0.007096,               0.007096
                     90,                 1.3094,                0.61413,                 1.0023,                0.85941,                 0.6226,                0.70394,                0.39398,                 1.3113,                0.54028,                 1.0507,               0.007063,               0.007063,               0.007063
                     91,                 1.3058,                0.61126,                 1.0007,                0.86072,                 0.6216,                0.70406,                0.39397,                 1.3115,                0.53986,                 1.0503,                0.00703,                0.00703,                0.00703
                     92,                 1.2996,                0.60664,                 1.0065,                0.86145,                0.62232,                0.70443,                0.39422,                 1.3114,                0.53982,                 1.0502,               0.006997,               0.006997,               0.006997
