                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8877,                 1.6607,                 1.2702,                0.74068,                0.42757,                0.47695,                0.23211,                 1.6795,                 1.0544,                 1.1872,              0.0033292,              0.0033292,              0.0033292
                      2,                 1.7259,                  1.129,                 1.1461,                0.75321,                0.43915,                0.49534,                0.24809,                 1.6192,                0.94761,                 1.1496,              0.0066405,              0.0066405,              0.0066405
                      3,                 1.7143,                 1.0576,                 1.1411,                0.74032,                0.43631,                0.49146,                0.24241,                 1.6398,                  1.031,                  1.168,              0.0099299,              0.0099299,              0.0099299
                      4,                  1.699,                 1.0162,                 1.1386,                0.74895,                0.44225,                0.50352,                0.25087,                 1.6078,                0.92254,                 1.1547,               0.009901,               0.009901,               0.009901
                      5,                 1.6508,                0.95743,                 1.1231,                0.78248,                0.44842,                0.52322,                0.27417,                 1.5649,                0.87151,                 1.1408,               0.009868,               0.009868,               0.009868
                      6,                 1.6239,                0.92337,                 1.1181,                0.78231,                 0.4829,                0.54731,                0.27958,                 1.5414,                0.81854,                 1.1284,               0.009835,               0.009835,               0.009835
                      7,                 1.6049,                0.89795,                 1.1088,                0.78981,                0.48907,                0.55629,                0.28874,                 1.5263,                0.79461,                 1.1296,               0.009802,               0.009802,               0.009802
                      8,                 1.5824,                0.87556,                  1.101,                0.79043,                0.48749,                0.56182,                0.29346,                 1.5221,                0.78075,                 1.1231,               0.009769,               0.009769,               0.009769
                      9,                  1.567,                0.86011,                 1.1002,                0.79497,                0.49851,                0.56807,                0.29595,                 1.5037,                0.75903,                 1.1152,               0.009736,               0.009736,               0.009736
                     10,                 1.5567,                0.84683,                 1.0988,                0.79466,                0.50234,                 0.5708,                0.30009,                 1.4851,                0.77093,                  1.102,               0.009703,               0.009703,               0.009703
                     11,                 1.5441,                0.83666,                  1.089,                0.78983,                0.49595,                0.56665,                 0.2954,                 1.4896,                0.75688,                 1.1071,                0.00967,                0.00967,                0.00967
                     12,                 1.5401,                0.83394,                 1.0888,                0.80555,                 0.5108,                0.57995,                0.30454,                 1.4784,                0.74348,                  1.106,               0.009637,               0.009637,               0.009637
                     13,                 1.5433,                0.82442,                 1.0864,                0.80553,                0.51191,                0.58568,                0.31143,                 1.4663,                0.73726,                  1.107,               0.009604,               0.009604,               0.009604
                     14,                 1.5279,                0.81149,                 1.0901,                0.79613,                0.51004,                0.57482,                0.30395,                 1.4716,                0.74344,                 1.1026,               0.009571,               0.009571,               0.009571
                     15,                 1.5258,                0.81098,                 1.0841,                 0.8121,                0.51747,                0.59288,                0.31542,                 1.4567,                 0.7185,                 1.1001,               0.009538,               0.009538,               0.009538
                     16,                 1.5037,                0.79684,                 1.0876,                0.81682,                  0.527,                0.59828,                0.31907,                 1.4442,                0.70948,                 1.0997,               0.009505,               0.009505,               0.009505
                     17,                 1.5082,                0.79461,                 1.0839,                0.81922,                0.52561,                0.59955,                0.32213,                 1.4416,                0.70597,                 1.0967,               0.009472,               0.009472,               0.009472
                     18,                  1.501,                0.79015,                 1.0795,                0.81119,                0.52541,                0.59804,                0.32003,                 1.4328,                0.69989,                 1.0881,               0.009439,               0.009439,               0.009439
                     19,                 1.5089,                0.79022,                 1.0782,                0.81179,                0.53199,                  0.603,                0.32093,                  1.436,                0.69948,                 1.0886,               0.009406,               0.009406,               0.009406
                     20,                 1.5036,                 0.7877,                 1.0741,                 0.8096,                0.52892,                0.59858,                0.31739,                 1.4381,                0.68832,                 1.0884,               0.009373,               0.009373,               0.009373
                     21,                 1.4966,                0.78262,                  1.077,                0.81339,                0.53131,                0.60605,                0.32468,                  1.436,                 0.6891,                 1.0913,                0.00934,                0.00934,                0.00934
                     22,                 1.5073,                0.78541,                 1.0728,                0.82055,                0.53156,                0.60632,                0.32483,                 1.4293,                0.68138,                 1.0847,               0.009307,               0.009307,               0.009307
                     23,                 1.4888,                0.77418,                 1.0709,                0.82414,                0.53755,                0.61128,                0.32748,                 1.4224,                0.67051,                 1.0864,               0.009274,               0.009274,               0.009274
                     24,                   1.49,                 0.7746,                 1.0723,                0.81446,                0.54063,                0.61421,                0.32993,                  1.416,                 0.6717,                 1.0819,               0.009241,               0.009241,               0.009241
                     25,                 1.4885,                0.76898,                 1.0682,                0.82048,                0.54513,                  0.617,                0.33143,                 1.4156,                0.66546,                 1.0809,               0.009208,               0.009208,               0.009208
                     26,                 1.4854,                0.76702,                  1.067,                0.82079,                0.54644,                0.61881,                0.33078,                  1.416,                 0.6637,                 1.0811,               0.009175,               0.009175,               0.009175
                     27,                 1.4776,                0.76271,                 1.0695,                0.82294,                0.54632,                0.62176,                0.33472,                 1.4125,                0.65496,                  1.079,               0.009142,               0.009142,               0.009142
                     28,                 1.4773,                0.76123,                 1.0625,                 0.8191,                0.54714,                0.62002,                0.33342,                 1.4114,                0.65697,                 1.0749,               0.009109,               0.009109,               0.009109
                     29,                 1.4724,                0.75867,                 1.0614,                 0.8228,                0.54664,                0.62143,                0.33622,                 1.4037,                0.65455,                 1.0719,               0.009076,               0.009076,               0.009076
                     30,                 1.4808,                0.75936,                 1.0658,                0.82643,                0.54979,                0.62403,                0.33738,                 1.4004,                0.65084,                 1.0738,               0.009043,               0.009043,               0.009043
                     31,                 1.4755,                0.75719,                 1.0635,                0.82846,                0.55028,                0.62582,                0.33729,                 1.3999,                0.64746,                 1.0729,                0.00901,                0.00901,                0.00901
                     32,                 1.4659,                0.74901,                 1.0583,                0.82791,                0.55009,                0.62614,                0.33998,                 1.4007,                0.64181,                 1.0773,               0.008977,               0.008977,               0.008977
                     33,                 1.4695,                0.74995,                 1.0668,                0.82895,                0.55213,                0.62686,                0.33705,                 1.3992,                0.64077,                  1.076,               0.008944,               0.008944,               0.008944
                     34,                 1.4614,                0.74263,                 1.0645,                0.83007,                 0.5512,                0.62719,                0.33926,                 1.3944,                0.64028,                 1.0748,               0.008911,               0.008911,               0.008911
                     35,                 1.4605,                0.74449,                 1.0618,                0.83293,                0.54919,                0.62741,                0.34065,                 1.3936,                0.63732,                  1.074,               0.008878,               0.008878,               0.008878
                     36,                 1.4658,                0.74487,                 1.0606,                0.83424,                0.55314,                0.63086,                0.34057,                 1.3925,                0.63571,                 1.0743,               0.008845,               0.008845,               0.008845
                     37,                 1.4603,                0.74276,                 1.0602,                0.83273,                0.55544,                0.63197,                0.34205,                 1.3904,                0.63291,                 1.0737,               0.008812,               0.008812,               0.008812
                     38,                 1.4546,                0.73704,                 1.0577,                0.83262,                0.55561,                0.63323,                0.34252,                  1.388,                0.63008,                 1.0703,               0.008779,               0.008779,               0.008779
                     39,                  1.462,                0.74505,                 1.0676,                0.82923,                0.55662,                 0.6333,                0.34269,                 1.3896,                0.63104,                 1.0754,               0.008746,               0.008746,               0.008746
                     40,                 1.4504,                0.73542,                 1.0597,                 0.8374,                0.55493,                0.63319,                0.34253,                 1.3905,                0.62843,                 1.0744,               0.008713,               0.008713,               0.008713
                     41,                 1.4542,                0.73707,                   1.06,                0.83139,                0.55808,                 0.6346,                0.34425,                 1.3863,                0.62561,                 1.0728,                0.00868,                0.00868,                0.00868
                     42,                 1.4546,                0.73544,                 1.0575,                0.83145,                0.56012,                0.63672,                0.34577,                 1.3862,                0.62611,                 1.0698,               0.008647,               0.008647,               0.008647
                     43,                 1.4557,                0.73736,                 1.0538,                 0.8318,                0.56012,                0.63688,                 0.3456,                 1.3843,                0.62471,                 1.0675,               0.008614,               0.008614,               0.008614
                     44,                 1.4571,                 0.7315,                 1.0562,                0.83167,                0.56368,                0.63806,                0.34606,                  1.383,                0.62049,                  1.069,               0.008581,               0.008581,               0.008581
                     45,                 1.4387,                0.72607,                   1.06,                0.83597,                 0.5595,                0.63744,                0.34643,                  1.382,                0.61984,                 1.0699,               0.008548,               0.008548,               0.008548
                     46,                  1.446,                0.72981,                 1.0584,                 0.8367,                0.56314,                0.64045,                0.34702,                  1.382,                0.62026,                 1.0707,               0.008515,               0.008515,               0.008515
                     47,                 1.4463,                0.72919,                 1.0529,                0.83663,                0.56428,                0.64022,                0.34871,                 1.3811,                0.61656,                 1.0703,               0.008482,               0.008482,               0.008482
                     48,                 1.4444,                0.72983,                 1.0569,                 0.8334,                 0.5646,                0.63965,                0.34744,                 1.3805,                0.61507,                 1.0703,               0.008449,               0.008449,               0.008449
                     49,                 1.4479,                0.72661,                 1.0545,                0.83342,                0.56689,                 0.6423,                0.34902,                 1.3805,                0.61315,                 1.0697,               0.008416,               0.008416,               0.008416
                     50,                 1.4359,                 0.7232,                 1.0528,                 0.8365,                0.56399,                0.64187,                0.34889,                 1.3783,                0.61337,                 1.0671,               0.008383,               0.008383,               0.008383
                     51,                 1.4398,                0.72039,                 1.0495,                0.83484,                0.56546,                 0.6421,                0.34933,                 1.3759,                0.61269,                 1.0651,                0.00835,                0.00835,                0.00835
                     52,                 1.4364,                0.72243,                  1.054,                0.83723,                0.56624,                0.64216,                0.34933,                 1.3755,                0.61277,                 1.0657,               0.008317,               0.008317,               0.008317
                     53,                 1.4395,                0.72456,                 1.0558,                0.83678,                0.56603,                0.64228,                0.34972,                 1.3741,                0.61226,                 1.0639,               0.008284,               0.008284,               0.008284
                     54,                 1.4422,                 0.7246,                 1.0471,                0.83503,                0.56818,                0.64302,                0.35035,                 1.3747,                0.61067,                 1.0649,               0.008251,               0.008251,               0.008251
                     55,                 1.4301,                0.71488,                 1.0505,                0.83237,                0.56825,                0.64308,                 0.3503,                  1.376,                0.60929,                 1.0639,               0.008218,               0.008218,               0.008218
                     56,                  1.446,                0.71878,                 1.0491,                0.83446,                0.56924,                0.64378,                0.35012,                 1.3756,                0.60873,                 1.0618,               0.008185,               0.008185,               0.008185
                     57,                 1.4426,                0.71862,                  1.052,                0.83374,                0.56994,                0.64465,                0.35109,                 1.3733,                0.60712,                 1.0614,               0.008152,               0.008152,               0.008152
                     58,                 1.4302,                0.71665,                 1.0559,                0.83668,                  0.569,                0.64585,                0.35171,                 1.3731,                0.60625,                 1.0621,               0.008119,               0.008119,               0.008119
                     59,                 1.4368,                0.71599,                 1.0518,                0.83565,                0.57009,                0.64603,                0.35221,                 1.3719,                0.60618,                 1.0627,               0.008086,               0.008086,               0.008086
                     60,                 1.4301,                0.71286,                 1.0506,                0.83756,                0.56994,                0.64654,                0.35279,                 1.3712,                0.60488,                 1.0636,               0.008053,               0.008053,               0.008053
                     61,                 1.4283,                0.71135,                 1.0451,                 0.8381,                0.56936,                 0.6459,                0.35263,                 1.3705,                0.60423,                 1.0627,                0.00802,                0.00802,                0.00802
